site,source,isbn,title,authors
labirint,https://www.labirint.ru/books/74741/,5-98655-005-6,Гладиаторы: Константин Носов,Носов Константин Сергеевич
labirint,https://www.labirint.ru/books/74738/,5-98655-004-8,Замки Японии: История. Конструкция. Осадная техника. Путеводитель: Константин Носов,Носов Константин Сергеевич
labirint,https://www.labirint.ru/books/74803/,5-08-004076-9,Горе от ума: Александр Грибоедов,Грибоедов Александр Сергеевич
labirint,https://www.labirint.ru/books/74805/,5-08-004157-9,Партизанка Лара: Надежда Надеждина,Надеждина Надежда Августиновна
labirint,https://www.labirint.ru/books/74804/,5-08-004044-0,Мы: Евгений Замятин,Замятин Евгений Иванович
labirint,https://www.labirint.ru/books/74807/,5-08-003988-4,Отцы и дети: Иван Тургенев,Тургенев Иван Сергеевич
labirint,https://www.labirint.ru/books/74806/,5-08-003922-1,Повести Белкина. Пиковая дама: Александр Пушкин,Пушкин Александр Сергеевич
labirint,https://www.labirint.ru/books/74808/,5-08-004147-1,Молодая гвардия: Александр Фадеев,Фадеев Александр Александрович
labirint,https://www.labirint.ru/books/74889/,5-93556-529-3,"Я, маг!: Я, маг!; Истебитель магов; Маг без магии: Дмитрий Казаков",Казаков Дмитрий Львович
labirint,https://www.labirint.ru/books/74835/,985-483-437-9,Магия фэн-шуй в вашем доме: Карен Кингстон,Кингстон Карен
labirint,https://www.labirint.ru/books/75043/,5-94962-033-5,To Kill a Mockingbird: Harper Lee,Lee Harper
labirint,https://www.labirint.ru/books/75046/,978-5-94962-056-4,The Godfather: Mario Puzo,Puzo Mario
labirint,https://www.labirint.ru/books/75052/,5-94962-066-6,Selected Prose: Jerome Salinger,Salinger Jerome David
labirint,https://www.labirint.ru/books/75057/,5-94962-036-4,Selected plays: Oscar Wilde,Wilde Oscar
labirint,https://www.labirint.ru/books/75060/,5-94962-055-0,Coldfinger: Ian Fleming,Fleming Ian
labirint,https://www.labirint.ru/books/75053/,978-5-94962-031-1,The Catcher in the Rye: Jerome Salinger,Salinger Jerome David
labirint,https://www.labirint.ru/books/75061/,5-94962-037-2,Doctor No: Ian Fleming,Fleming Ian
labirint,https://www.labirint.ru/books/75071/,5-94962-052-6,Le capitaine Nemo: Jules Verne,Verne Jules
labirint,https://www.labirint.ru/books/75068/,5-94962-003-8,Пьесы / Mrs. Warren's profession; The dark lady of the sonnets (на английском языке): Бернард Шоу,Шоу Бернард
labirint,https://www.labirint.ru/books/75072/,5-94962-060-1,Histoires Pour Rire,Граблевская Ольга Венедиктовна
labirint,https://www.labirint.ru/books/75073/,5-94962-053-4,Les Trois Mousquetaires: Alexandre Dumas,Dumas Alexandre
